image,composition,echogenicity,margins,calcifications,tirads
1_1.jpg,,,,,
1_2.jpg,,,,,
10_1.jpg,solid,hyperechogenicity,spiculated,microcalcifications,4b
100_1.jpg,predominantly solid,isoechogenicity,well defined,macrocalcifications,4a
101_1.jpg,solid,hypoechogenicity,well defined,microcalcifications,5
102_1.jpg,solid,isoechogenicity,well defined,microcalcifications,4b
103_1.jpg,spongiform,isoechogenicity,well defined,microcalcifications,4a
104_1.jpg,,,,,
105_1.jpg,solid,hyperechogenicity,well defined,non,4a
106_1.jpg,,,,,
106_2.jpg,,,,,
106_3.jpg,,,,,
106_4.jpg,,,,,
107_1.jpg,spongiform,isoechogenicity,well defined,microcalcifications,4a
108_1.jpg,predominantly cystic,isoechogenicity,well defined,microcalcifications,4a
109_1.jpg,predominantly cystic,hypoechogenicity,well defined,microcalcifications,4b
11_1.jpg,solid,marked hypoechogenicity,spiculated,microcalcifications,5
110_1.jpg,predominantly solid,hyperechogenicity,well defined,microcalcifications,4a
111_1.jpg,spongiform,isoechogenicity,well defined,microcalcifications,4a
112_1.jpg,solid,hypoechogenicity,ill defined,microcalcifications,4c
113_1.jpg,spongiform,isoechogenicity,well defined,non,4a
114_2.jpg,,,,,
115_1.jpg,solid,hypoechogenicity,well defined,microcalcifications,4c
116_1.jpg,,,,,
117_1.jpg,,,,,
118_1.jpg,solid,isoechogenicity,microlobulated,microcalcifications,4b
119_1.jpg,spongiform,isoechogenicity,well defined,microcalcifications,4a
12_1.jpg,predominantly solid,isoechogenicity,well defined,microcalcifications,4a
120_1.jpg,,,,,
121_1.jpg,solid,hyperechogenicity,macrolobulated,microcalcifications,4b
122_1.jpg,solid,isoechogenicity,well defined,microcalcifications,4b
122_2.jpg,solid,isoechogenicity,well defined,microcalcifications,4b
123_1.jpg,solid,hyperechogenicity,ill defined,microcalcifications,4c
124_1.jpg,,,,,
125_1.jpg,solid,hypoechogenicity,well defined,macrocalcifications,4c
126_1.jpg,solid,isoechogenicity,microlobulated,microcalcifications,4b
127_1.jpg,solid,hyperechogenicity,ill defined,microcalcifications,2
128_1.jpg,solid,hyperechogenicity,ill defined,microcalcifications,4c
129_1.jpg,predominantly solid,isoechogenicity,well defined,microcalcifications,4b
129_2.jpg,predominantly solid,isoechogenicity,well defined,microcalcifications,4b
13_1.jpg,spongiform,isoechogenicity,well defined,microcalcifications,4a
130_1.jpg,,,well defined smooth,non,2
130_2.jpg,,,well defined smooth,non,2
131_1.jpg,solid,isoechogenicity,well defined,non,4a
132_1.jpg,,,,,
132_2.jpg,,,,,
133_1.jpg,,,,,
134_1.jpg,solid,hyperechogenicity,well defined,non,2
135_1.jpg,solid,marked hypoechogenicity,well defined,non,4b
136_1.jpg,,,,,
137_1.jpg,solid,isoechogenicity,well defined,macrocalcifications,4c
138_1.jpg,,,,,
138_2.jpg,,,,,
139_1.jpg,,,,,
139_2.jpg,,,,,
139_3.jpg,,,,,
14_1.jpg,solid,hyperechogenicity,microlobulated,non,2
140_1.jpg,solid,marked hypoechogenicity,well defined,macrocalcifications,
141_1.jpg,predominantly solid,hypoechogenicity,well defined,microcalcifications,4c
142_1.jpg,solid,marked hypoechogenicity,macrolobulated,microcalcifications,4c
142_2.jpg,solid,marked hypoechogenicity,macrolobulated,microcalcifications,4c
143_1.jpg,solid,hypoechogenicity,well defined,non,4a
144_1.jpg,predominantly cystic,isoechogenicity,well defined,microcalcifications,4b
145_1.jpg,,,,,
146_1.jpg,,,,,
146_2.jpg,,,,,
147_1.jpg,,,,,
148_1.jpg,solid,hypoechogenicity,well defined,non,4b
149_1.jpg,,,,,
15_1.jpg,predominantly solid,isoechogenicity,microlobulated,microcalcifications,4c
150_1.jpg,,,,,
151_1.jpg,spongiform,isoechogenicity,well defined,microcalcifications,4a
152_1.jpg,,,,,
153_1.jpg,solid,hypoechogenicity,well defined,non,4b
154_1.jpg,predominantly solid,isoechogenicity,ill defined,microcalcifications,4b
155_1.jpg,solid,hypoechogenicity,microlobulated,microcalcifications,4c
156_1.jpg,solid,isoechogenicity,ill defined,microcalcifications,4c
156_2.jpg,solid,isoechogenicity,ill defined,microcalcifications,4c
157_1.jpg,,,,,
157_2.jpg,,,,,
158_1.jpg,,,,,
158_2.jpg,,,,,
158_3.jpg,,,,,
159_1.jpg,,,,,
16_1.jpg,spongiform,isoechogenicity,well defined,non,3
160_1.jpg,solid,hyperechogenicity,well defined,non,2
161_1.jpg,,,,,
162_1.jpg,solid,hypoechogenicity,ill defined,non,4c
163_1.jpg,,,,,
163_2.jpg,,,,,
164_1.jpg,solid,isoechogenicity,well defined,microcalcifications,4b
165_1.jpg,,,,,
166_1.jpg,spongiform,isoechogenicity,well defined,microcalcifications,4a
167_1.jpg,dense,isoechogenicity,well defined,microcalcifications,4b
168_1.jpg,solid,marked hypoechogenicity,microlobulated,microcalcifications,4c
169_1.jpg,,,,,
17_1.jpg,solid,hypoechogenicity,well defined,microcalcifications,2
170_1.jpg,predominantly solid,isoechogenicity,well defined,microcalcifications,4a
171_1.jpg,solid,hyperechogenicity,well defined,macrocalcifications,4b
172_1.jpg,spongiform,isoechogenicity,well defined,microcalcifications,4a
173_1.jpg,,,,,
173_2.jpg,,,,,
174_1.jpg,predominantly cystic,isoechogenicity,well defined,microcalcifications,4a
175_1.jpg,,,,,
175_2.jpg,,,,,
176_1.jpg,spongiform,hyperechogenicity,well defined,macrocalcifications,4b
177_1.jpg,solid,hypoechogenicity,well defined,macrocalcifications,4c
177_2.jpg,solid,hypoechogenicity,well defined,macrocalcifications,4c
178_1.jpg,solid,hypoechogenicity,well defined,non,4a
179_1.jpg,solid,isoechogenicity,well defined,microcalcifications,4b
18_1.jpg,solid,hypoechogenicity,well defined,non,4a
180_1.jpg,solid,hypoechogenicity,spiculated,macrocalcifications,5
181_1.jpg,,,,,
182_1.jpg,,,,,
183_1.jpg,,,,,
183_2.jpg,,,,,
184_1.jpg,spongiform,hyperechogenicity,well defined,microcalcifications,4a
185_1.jpg,solid,hyperechogenicity,well defined,non,4a
186_1.jpg,solid,hypoechogenicity,spiculated,microcalcifications,5
187_1.jpg,solid,hyperechogenicity,well defined,microcalcifications,4b
188_1.jpg,,,,,
189_1.jpg,,,,,
189_2.jpg,,,,,
19_1.jpg,solid,marked hypoechogenicity,well defined,macrocalcifications,5
190_1.jpg,solid,hyperechogenicity,ill defined,non,2
192_1.jpg,solid,isoechogenicity,well defined,microcalcifications,4b
193_1.jpg,solid,hypoechogenicity,ill defined,microcalcifications,2
194_1.jpg,spongiform,isoechogenicity,well defined,microcalcifications,4a
195_1.jpg,solid,hyperechogenicity,well defined,microcalcifications,4b
196_1.jpg,,,,,
197_1.jpg,predominantly cystic,isoechogenicity,well defined,non,4a
198_1.jpg,spongiform,isoechogenicity,well defined,microcalcifications,4a
198_2.jpg,spongiform,isoechogenicity,well defined,microcalcifications,4a
199_1.jpg,,,,,
2_1.jpg,solid,hyperechogenicity,well defined,non,2
20_1.jpg,solid,hypoechogenicity,microlobulated,non,4b
200_1.jpg,,,,,
201_1.jpg,solid,hypoechogenicity,well defined,microcalcifications,4c
202_1.jpg,predominantly solid,hypoechogenicity,well defined,macrocalcifications,4c
203_1.jpg,solid,hypoechogenicity,well defined,non,4b
204_1.jpg,solid,hyperechogenicity,well defined,non,2
205_1.jpg,spongiform,isoechogenicity,well defined,microcalcifications,4a
206_1.jpg,solid,hypoechogenicity,spiculated,macrocalcifications,4c
207_1.jpg,dense,marked hypoechogenicity,well defined,macrocalcifications,5
208_1.jpg,,,,,
209_1.jpg,predominantly solid,hypoechogenicity,macrolobulated,macrocalcifications,4a
209_2.jpg,predominantly solid,hypoechogenicity,macrolobulated,macrocalcifications,4a
21_1.jpg,solid,hyperechogenicity,well defined,microcalcifications,4a
210_1.jpg,,,,,
210_2.jpg,,,,,
210_3.jpg,,,,,
211_1.jpg,predominantly solid,hypoechogenicity,ill defined,macrocalcifications,5
212_1.jpg,predominantly cystic,isoechogenicity,well defined,microcalcifications,4a
213_1.jpg,,,,,
213_2.jpg,,,,,
213_3.jpg,,,,,
214_1.jpg,predominantly solid,isoechogenicity,well defined,microcalcifications,4b
215_1.jpg,solid,isoechogenicity,ill defined,macrocalcifications,4c
216_1.jpg,solid,hypoechogenicity,well defined,microcalcifications,4c
217_1.jpg,solid,hypoechogenicity,well defined,microcalcifications,4c
219_1.jpg,predominantly solid,isoechogenicity,well defined,microcalcifications,4b
22_1.jpg,solid,hyperechogenicity,well defined,non,2
220_1.jpg,solid,hypoechogenicity,ill defined,macrocalcifications,5
221_1.jpg,predominantly cystic,isoechogenicity,well defined,microcalcifications,4b
222_1.jpg,,,,,
223_1.jpg,,,,,
224_1.jpg,spongiform,isoechogenicity,well defined,microcalcifications,4a
225_1.jpg,spongiform,isoechogenicity,well defined,microcalcifications,4a
225_2.jpg,spongiform,isoechogenicity,well defined,microcalcifications,4a
226_1.jpg,,,,,
227_1.jpg,solid,hypoechogenicity,spiculated,macrocalcifications,5
227_2.jpg,solid,hypoechogenicity,spiculated,macrocalcifications,5
228_1.jpg,dense,hypoechogenicity,well defined,microcalcifications,4c
229_1.jpg,,,,,
23_1.jpg,solid,hyperechogenicity,well defined,non,4a
230_1.jpg,,,,,
230_2.jpg,,,,,
231_1.jpg,solid,isoechogenicity,macrolobulated,non,4a
232_1.jpg,,,,,
233_1.jpg,,,well defined smooth,microcalcification,4b
233_2.jpg,,,well defined smooth,microcalcification,4b
234_1.jpg,,,,,
234_2.jpg,,,,,
234_3.jpg,,,,,
235_1.jpg,,,,,
236_1.jpg,solid,isoechogenicity,well defined,macrocalcifications,4c
237_1.jpg,,,,,
238_1.jpg,,,,,
239_1.jpg,,,,,
24_1.jpg,solid,hyperechogenicity,well defined,microcalcifications,4b
240_1.jpg,,,,,
241_1.jpg,,,,,
242_1.jpg,solid,isoechogenicity,well defined,macrocalcifications,4b
243_1.jpg,solid,hypoechogenicity,microlobulated,non,4c
244_1.jpg,solid,hypoechogenicity,well defined,microcalcifications,4c
245_1.jpg,,,,,
246_1.jpg,solid,marked hypoechogenicity,spiculated,microcalcifications,5
247_1.jpg,solid,hyperechogenicity,ill defined,non,2
248_1.jpg,solid,hyperechogenicity,well defined,microcalcifications,4a
249_1.jpg,,,,,
25_1.jpg,solid,hyperechogenicity,well defined,non,3
250_1.jpg,,,,,
251_1.jpg,solid,hyperechogenicity,well defined,microcalcifications,4b
252_1.jpg,dense,hypoechogenicity,spiculated,microcalcifications,5
253_1.jpg,,,,,
254_1.jpg,,,,,
255_1.jpg,solid,isoechogenicity,well defined,non,4a
256_1.jpg,,,,,
257_1.jpg,solid,hyperechogenicity,well defined,non,4a
258_1.jpg,solid,hypoechogenicity,well defined,macrocalcifications,4c
259_1.jpg,predominantly solid,isoechogenicity,well defined,microcalcifications,4a
26_1.jpg,solid,hypoechogenicity,well defined,microcalcifications,4a
260_1.jpg,,,,,
261_1.jpg,solid,isoechogenicity,well defined,macrocalcifications,4b
262_1.jpg,,,,,
263_1.jpg,predominantly solid,isoechogenicity,well defined,macrocalcifications,4b
264_1.jpg,solid,isoechogenicity,well defined,microcalcifications,4b
265_1.jpg,predominantly cystic,isoechogenicity,well defined,macrocalcifications,4b
266_1.jpg,,,,,
266_2.jpg,,,,,
267_1.jpg,predominantly solid,hypoechogenicity,well defined,microcalcifications,4b
268_1.jpg,predominantly solid,isoechogenicity,well defined,microcalcifications,4a
269_1.jpg,predominantly solid,isoechogenicity,well defined,microcalcifications,4b
27_1.jpg,solid,hypoechogenicity,well defined,microcalcifications,4b
270_1.jpg,solid,hyperechogenicity,well defined,non,2
271_1.jpg,solid,hypoechogenicity,well defined,macrocalcifications,4c
272_1.jpg,predominantly cystic,isoechogenicity,well defined,microcalcifications,4a
273_1.jpg,,,,,
274_1.jpg,,,,,
275_1.jpg,predominantly solid,isoechogenicity,macrolobulated,microcalcifications,4b
276_1.jpg,,,,,
277_1.jpg,solid,hypoechogenicity,well defined,macrocalcifications,4b
278_1.jpg,predominantly solid,isoechogenicity,well defined,microcalcifications,4a
279_1.jpg,cystic,isoechogenicity,well defined,microcalcifications,4b
28_1.jpg,spongiform,isoechogenicity,well defined,microcalcifications,4b
280_1.jpg,,,,,
281_1.jpg,solid,marked hypoechogenicity,microlobulated,microcalcifications,4c
282_1.jpg,predominantly solid,hypoechogenicity,well defined,microcalcifications,4c
283_1.jpg,solid,isoechogenicity,well defined,microcalcifications,4a
284_1.jpg,solid,isoechogenicity,well defined,microcalcifications,4b
285_1.jpg,solid,hyperechogenicity,well defined,microcalcifications,2
286_1.jpg,solid,isoechogenicity,well defined,microcalcifications,4b
287_1.jpg,,,,,
288_1.jpg,,,well defined smooth,microcalcification,4c
289_1.jpg,,,well defined smooth,microcalcification,4a
29_1.jpg,solid,marked hypoechogenicity,ill defined,microcalcifications,5
290_1.jpg,,,ill- defined,macrocalcification,5
291_1.jpg,,,well defined smooth,microcalcification,4b
292_1.jpg,,,well defined smooth,non,3
293_1.jpg,,,well defined smooth,non,4a
294_1.jpg,,,ill- defined,microcalcification,5
294_2.jpg,,,ill- defined,microcalcification,5
294_3.jpg,,,ill- defined,microcalcification,5
295_1.jpg,,,well defined smooth,microcalcification,4a
296_1.jpg,,,ill- defined,microcalcification,5
296_2.jpg,,,ill- defined,microcalcification,5
296_3.jpg,,,ill- defined,microcalcification,5
296_4.jpg,,,ill- defined,microcalcification,5
296_5.jpg,,,ill- defined,microcalcification,5
297_1.jpg,,,microlobulated,microcalcification,4c
298_1.jpg,,,well defined smooth,macrocalcification,4a
299_1.jpg,,,microlobulated,microcalcification,4a
3_1.jpg,spongiform,isoechogenicity,well defined,microcalcifications,4a
30_1.jpg,solid,marked hypoechogenicity,ill defined,microcalcifications,4c
300_1.jpg,,,well defined smooth,microcalcification,4a
301_1.jpg,,,well defined smooth,microcalcification,4a
302_1.jpg,,,microlobulated,non,4b
303_1.jpg,,,well defined smooth,non,2
304_1.jpg,,,well defined smooth,microcalcification,4c
305_1.jpg,,,well defined smooth,non,2
306_1.jpg,,,well defined smooth,microcalcification,4a
307_1.jpg,,,well defined smooth,microcalcification,4a
308_1.jpg,,,well defined smooth,microcalcification,4a
309_1.jpg,,,well defined smooth,non,3
31_1.jpg,solid,hyperechogenicity,well defined,non,3
310_1.jpg,,,microlobulated,non,2
311_1.jpg,,,well defined smooth,microcalcification,4b
312_1.jpg,,,,,
313_1.jpg,,,well defined smooth,non,4c
313_2.jpg,,,well defined smooth,non,4c
314_1.jpg,,,well defined smooth,microcalcification,4a
315_1.jpg,,,ill- defined,microcalcification,5
315_2.jpg,,,ill- defined,microcalcification,5
316_1.jpg,,,well defined smooth,non,4b
317_1.jpg,,,spiculated,non,4c
317_2.jpg,,,spiculated,non,4c
318_1.jpg,,,well defined smooth,non,4c
318_2.jpg,,,well defined smooth,non,4c
319_1.jpg,,,ill- defined,microcalcification,4c
319_2.jpg,,,ill- defined,microcalcification,4c
32_1.jpg,solid,hyperechogenicity,well defined,non,4a
320_1.jpg,,,well defined smooth,non,4b
321_1.jpg,,,microlobulated,microcalcification,4c
323_1.jpg,,,,,
326_1.jpg,,,,,
329_1.jpg,,,well defined smooth,non,2
33_1.jpg,spongiform,isoechogenicity,well defined,microcalcifications,4a
330_1.jpg,,,ill- defined,microcalcification,5
330_2.jpg,,,ill- defined,microcalcification,5
331_1.jpg,,,well defined smooth,non,2
332_1.jpg,,,,,
333_1.jpg,,,well defined smooth,non,2
334_1.jpg,,,well defined smooth,non,3
334_2.jpg,,,well defined smooth,non,3
335_1.jpg,,,well defined smooth,non,2
335_2.jpg,,,well defined smooth,non,2
336_2.jpg,,,well defined smooth,non,2
337_1.jpg,,,well defined smooth,microcalcification,5
337_2.jpg,,,well defined smooth,microcalcification,5
337_3.jpg,,,well defined smooth,microcalcification,5
338_1.jpg,,,ill- defined,microcalcification,4c
338_2.jpg,,,ill- defined,microcalcification,4c
339_1.jpg,,,well defined smooth,non,2
34_1.jpg,solid,hypoechogenicity,spiculated,microcalcifications,4c
340_1.jpg,,,spiculated,microcalcification,5
341_1.jpg,,,ill- defined,microcalcification,4c
342_1.jpg,,,ill- defined,non,4c
343_1.jpg,,,well defined smooth,microcalcification,4b
344_1.jpg,,,well defined smooth,microcalcification,4a
345_1.jpg,,,ill- defined,microcalcification,5
346_1.jpg,,,well defined smooth,non,3
347_1.jpg,,,well defined smooth,non,3
347_2.jpg,,,well defined smooth,non,3
348_1.jpg,,,well defined smooth,microcalcification,4a
349_1.jpg,,,,,
35_1.jpg,solid,hypoechogenicity,well defined,microcalcifications,4b
350_1.jpg,,,well defined smooth,microcalcification,4a
350_2.jpg,,,well defined smooth,microcalcification,4a
351_1.jpg,,,ill- defined,microcalcification,5
351_2.jpg,,,ill- defined,microcalcification,5
352_1.jpg,,,microlobulated,non,4b
353_1.jpg,,,well defined smooth,macrocalcification,4a
353_2.jpg,,,well defined smooth,macrocalcification,4a
354_1.jpg,,,well defined smooth,non,4b
355_1.jpg,,,well defined smooth,microcalcification,4b
356_1.jpg,,,well defined smooth,non,2
357_1.jpg,,,well defined smooth,macrocalcification,4b
358_1.jpg,,,well defined smooth,microcalcification,4a
358_2.jpg,,,well defined smooth,microcalcification,4a
359_1.jpg,,,,non,2
359_2.jpg,,,,non,2
36_1.jpg,dense,hypoechogenicity,spiculated,microcalcifications,5
360_1.jpg,,,well defined smooth,microcalcification,4a
360_2.jpg,,,well defined smooth,microcalcification,4a
361_1.jpg,,,well defined smooth,non,2
362_1.jpg,,,well defined smooth,non,2
363_1.jpg,,,well defined smooth,non,4b
364_1.jpg,,,well defined smooth,non,2
365_1.jpg,,,well defined smooth,non,2
366_1.jpg,,,well defined smooth,non,3
366_2.jpg,,,well defined smooth,non,3
366_3.jpg,,,well defined smooth,non,3
367_1.jpg,,,microlobulated,microcalcification,4c
367_2.jpg,,,microlobulated,microcalcification,4c
368_1.jpg,,,spiculated,non,4b
369_1.jpg,,,well defined smooth,non,2
370_1.jpg,,,ill- defined,microcalcification,4c
371_1.jpg,,,microlobulated,non,4c
371_2.jpg,,,microlobulated,non,4c
372_1.jpg,,,well defined smooth,microcalcification,4b
373_1.jpg,,,well defined smooth,non,3
373_2.jpg,,,well defined smooth,non,3
374_1.jpg,,,ill- defined,microcalcification,5
375_1.jpg,,,well defined smooth,non,3
376_1.jpg,,,well defined smooth,non,3
377_1.jpg,,,well defined smooth,microcalcification,2
378_1.jpg,,,well defined smooth,non,2
379_1.jpg,,,well defined smooth,microcalcification,4c
38_1.jpg,spongiform,hypoechogenicity,well defined,microcalcifications,4b
380_1.jpg,,,well defined smooth,non,3
381_1.jpg,,,ill- defined,microcalcification,4c
381_2.jpg,,,ill- defined,microcalcification,4c
382_1.jpg,,,well defined smooth,non,3
383_1.jpg,predominantly solid,marked hypoechogenicity,microlobulated,macrocalcifications,4c
384_1.jpg,,,well defined smooth,microcalcification,4a
386_1.jpg,,,well defined smooth,non,2
387_1.jpg,,,microlobulated,microcalcification,4c
387_2.jpg,,,microlobulated,microcalcification,4c
388_1.jpg,,,,,
389_1.jpg,,,,,
39_1.jpg,cystic,isoechogenicity,well defined,microcalcifications,4a
390_1.jpg,,,well defined smooth,microcalcification,4c
391_1.jpg,,,well defined smooth,non,2
391_2.jpg,,,well defined smooth,non,2
392_1.jpg,,,ill- defined,microcalcification,4c
394_1.jpg,,,ill- defined,microcalcification,5
395_1.jpg,,,well defined smooth,microcalcification,4a
395_2.jpg,,,well defined smooth,microcalcification,4a
396_1.jpg,,,,,
397_1.jpg,,,well defined smooth,non,2
398_1.jpg,,,spiculated,non,4b
