image,composition,echogenicity,margins,calcifications,tirads
10_1.jpg,solid,hyperechogenicity,spiculated,microcalcifications,4b
100_1.jpg,predominantly solid,isoechogenicity,well defined,macrocalcifications,4a
101_1.jpg,solid,hypoechogenicity,well defined,microcalcifications,5
102_1.jpg,solid,isoechogenicity,well defined,microcalcifications,4b
103_1.jpg,spongiform,isoechogenicity,well defined,microcalcifications,4a
105_1.jpg,solid,hyperechogenicity,well defined,non,4a
107_1.jpg,spongiform,isoechogenicity,well defined,microcalcifications,4a
108_1.jpg,predominantly cystic,isoechogenicity,well defined,microcalcifications,4a
109_1.jpg,predominantly cystic,hypoechogenicity,well defined,microcalcifications,4b
11_1.jpg,solid,marked hypoechogenicity,spiculated,microcalcifications,5
110_1.jpg,predominantly solid,hyperechogenicity,well defined,microcalcifications,4a
111_1.jpg,spongiform,isoechogenicity,well defined,microcalcifications,4a
112_1.jpg,solid,hypoechogenicity,ill defined,microcalcifications,4c
113_1.jpg,spongiform,isoechogenicity,well defined,non,4a
115_1.jpg,solid,hypoechogenicity,well defined,microcalcifications,4c
118_1.jpg,solid,isoechogenicity,microlobulated,microcalcifications,4b
119_1.jpg,spongiform,isoechogenicity,well defined,microcalcifications,4a
12_1.jpg,predominantly solid,isoechogenicity,well defined,microcalcifications,4a
121_1.jpg,solid,hyperechogenicity,macrolobulated,microcalcifications,4b
122_1.jpg,solid,isoechogenicity,well defined,microcalcifications,4b
122_2.jpg,solid,isoechogenicity,well defined,microcalcifications,4b
123_1.jpg,solid,hyperechogenicity,ill defined,microcalcifications,4c
125_1.jpg,solid,hypoechogenicity,well defined,macrocalcifications,4c
126_1.jpg,solid,isoechogenicity,microlobulated,microcalcifications,4b
127_1.jpg,solid,hyperechogenicity,ill defined,microcalcifications,2
128_1.jpg,solid,hyperechogenicity,ill defined,microcalcifications,4c
129_1.jpg,predominantly solid,isoechogenicity,well defined,microcalcifications,4b
129_2.jpg,predominantly solid,isoechogenicity,well defined,microcalcifications,4b
13_1.jpg,spongiform,isoechogenicity,well defined,microcalcifications,4a
131_1.jpg,solid,isoechogenicity,well defined,non,4a
134_1.jpg,solid,hyperechogenicity,well defined,non,2
135_1.jpg,solid,marked hypoechogenicity,well defined,non,4b
137_1.jpg,solid,isoechogenicity,well defined,macrocalcifications,4c
14_1.jpg,solid,hyperechogenicity,microlobulated,non,2
141_1.jpg,predominantly solid,hypoechogenicity,well defined,microcalcifications,4c
142_1.jpg,solid,marked hypoechogenicity,macrolobulated,microcalcifications,4c
142_2.jpg,solid,marked hypoechogenicity,macrolobulated,microcalcifications,4c
143_1.jpg,solid,hypoechogenicity,well defined,non,4a
144_1.jpg,predominantly cystic,isoechogenicity,well defined,microcalcifications,4b
148_1.jpg,solid,hypoechogenicity,well defined,non,4b
15_1.jpg,predominantly solid,isoechogenicity,microlobulated,microcalcifications,4c
151_1.jpg,spongiform,isoechogenicity,well defined,microcalcifications,4a
153_1.jpg,solid,hypoechogenicity,well defined,non,4b
